"Rank","Player","Pos","Team","TGT","REC","YD","YD/REC","TD","FUM",""
"","Travis Kelce","TE","KC","136","97","1,229","12.7","5","1",""
"","George Kittle","TE","SF","107","85","1,053","12.4","5","1",""
"","Tyreek Hill","WR","KC","89","58","860","14.8","7","0",""
"","Deebo Samuel","WR","SF","81","57","802","14.1","3","2",""
"","Sammy Watkins","WR","KC","90","52","673","12.9","3","2",""
"","Mecole Hardman","WR","KC","41","26","538","20.7","6","2",""
"","Kyle Juszczyk","FB","SF","24","20","239","12.0","1","0",""
"","Damien Williams","RB","KC","37","30","213","7.1","2","1",""
"","Marquise Goodwin","WR","SF","21","12","186","15.5","1","0",""
"","Tevin Coleman","RB","SF","30","21","180","8.6","1","0",""
"","Raheem Mostert","RB","SF","22","14","180","12.9","2","2",""
"","Byron Pringle","WR","KC","16","12","170","14.2","1","0",""
"","Darrel Williams","RB","KC","19","15","167","11.1","1","1",""
"","Richie James","WR","SF","10","6","165","27.5","1","1",""
"","Dante Pettis","WR","SF","24","11","109","9.9","2","0",""