RANK,TEAM,WIN %,SIGNED,AVG AGE,ACTIVE,DEAD,Year,Winner/Loser
1,Browns,nan,57,24.95,90846127,13777043,2013,N/A
2,Jaguars,nan,61,24.9,76481330,35388734,2013,N/A
3,Eagles,nan,55,25.64,113332086,12079098,2013,N/A
4,Bills,nan,56,25.41,93133764,18337408,2013,N/A
5,Panthers,nan,59,26.56,87661776,18607423,2013,N/A
6,Packers,nan,59,25.1,105630986,3119288,2013,N/A
7,Dolphins,nan,55,25.69,83538929,12900362,2013,N/A
8,Titans,nan,56,25.96,108433715,12550074,2013,N/A
9,Broncos,nan,59,26.53,118575997,11883003,2013,N/A
10,Bengals,nan,61,25.93,114672294,8141422,2013,N/A
11,Cardinals,nan,60,26.62,98975699,18449362,2013,N/A
12,Raiders,nan,58,25.83,62911225,55371535,2013,N/A
13,Patriots,nan,55,25.64,95721433,16697929,2013,N/A
14,Jets,nan,60,25.87,97161812,22421993,2013,N/A
15,Buccaneers,nan,62,25.42,107554078,14407084,2013,N/A
16,Cowboys,nan,58,25.79,96138211,16379985,2013,N/A
17,49ers,nan,55,26.35,111080375,5256877,2013,Loser
18,Chargers,nan,59,25.93,101204163,12298555,2013,N/A
19,Bears,nan,57,27.04,119272918,6199751,2013,N/A
20,Seahawks,nan,57,25.54,113492822,8368014,2013,N/A
21,Lions,nan,57,26.39,97903420,14829672,2013,N/A
22,Chiefs,nan,57,25.47,115279528,19028711,2013,N/A
23,Texans,nan,63,25.53,109726654,6812448,2013,N/A
24,Falcons,nan,58,26,100229932,17155771,2013,N/A
25,Vikings,nan,58,25.59,119282647,4909405,2013,N/A
26,Saints,nan,56,26.41,102449629,5880872,2013,N/A
27,Redskins,nan,63,26.1,97089614,6625307,2013,N/A
28,Steelers,nan,58,26.24,99276546,10959577,2013,N/A
29,Rams,nan,55,24.89,101325111,14665104,2013,N/A
30,Colts,nan,59,26.24,109728023,10847687,2013,N/A
31,Ravens,nan,55,26.05,108485383,17514344,2013,Winner
32,Giants,nan,57,26.19,96939843,8936393,2013,N/A
1,Browns,nan,60,25.55,111584344,20541725,2014,N/A
2,Jaguars,nan,64,24.97,103149641,21765907,2014,N/A
3,Jets,nan,60,25.75,96032661,19245928,2014,N/A
4,Eagles,nan,56,25.96,112210669,10190533,2014,N/A
5,Titans,nan,61,26.2,97288788,12688893,2014,N/A
6,Bengals,nan,59,25.81,123997221,5142081,2014,N/A
7,Packers,nan,60,25.4,127059943,5477890,2014,N/A
8,Ravens,nan,68,25.54,108719340,14865768,2014,N/A
9,Raiders,nan,62,26,88804054,17835002,2014,N/A
10,Patriots,nan,59,25.68,106914393,18665581,2014,N/A
11,Seahawks,nan,60,25.6,104081005,17968453,2014,Winner
12,Cowboys,nan,57,25.93,100529973,28302882,2014,N/A
13,Dolphins,nan,62,25.61,121775111,8367964,2014,N/A
14,Texans,nan,61,25.54,107817768,20990794,2014,N/A
15,Falcons,nan,59,26.32,112913137,11065205,2014,N/A
16,Steelers,nan,54,26.33,116094468,13435466,2014,N/A
17,Buccaneers,nan,60,25.5,122260082,13814575,2014,N/A
18,49ers,nan,64,26.1,109080815,10210497,2014,N/A
19,Bills,nan,57,25.54,116041275,27015831,2014,N/A
20,Bears,nan,60,26.2,104027338,18280371,2014,N/A
21,Broncos,nan,57,25.93,123313050,9483329,2014,Loser
22,Colts,nan,56,26.84,100629580,5902931,2014,N/A
23,Saints,nan,60,26.2,108853726,16327000,2014,N/A
24,Chargers,nan,57,26.51,104154985,16440510,2014,N/A
25,Rams,nan,57,25.18,120120288,8402953,2014,N/A
26,Giants,nan,62,26.16,104260667,12642349,2014,N/A
27,Lions,nan,59,26.46,120697729,9379143,2014,N/A
28,Redskins,nan,61,25.87,109161929,16633031,2014,N/A
29,Cardinals,nan,57,26.14,99264014,15708766,2014,N/A
30,Panthers,nan,54,26.07,89069888,27093734,2014,N/A
31,Chiefs,nan,59,25.81,103806517,9407748,2014,N/A
32,Vikings,nan,59,25.32,99364225,8766804,2014,N/A
1,Jaguars,nan,59,25.1,113939472,9582465,2015,N/A
2,Titans,nan,56,25.34,91454606,17866172,2015,N/A
3,Browns,nan,56,25.39,103827287,7054744,2015,N/A
4,49ers,nan,54,25.22,75152917,29094100,2015,N/A
5,Raiders,nan,56,26.09,95984869,16688813,2015,N/A
6,Buccaneers,nan,55,25.51,88252175,25305733,2015,N/A
7,Cowboys,nan,56,25.88,89789032,19218914,2015,N/A
8,Falcons,nan,53,26.55,99720594,22469541,2015,N/A
9,Packers,nan,55,25.51,130544119,5436397,2015,N/A
10,Eagles,nan,57,26.21,125895408,19396358,2015,N/A
11,Colts,nan,56,26.88,120203501,14263153,2015,N/A
12,Bengals,nan,53,26.11,134100760,4848065,2015,N/A
13,Giants,nan,60,25.87,81804601,15599806,2015,N/A
14,Bills,nan,55,25.53,93228100,13643764,2015,N/A
15,Redskins,nan,60,26.22,112017096,13087081,2015,N/A
16,Steelers,nan,61,26.38,111599896,20143726,2015,N/A
17,Broncos,nan,54,26.24,135142144,6148288,2015,N/A
18,Panthers,nan,55,26.55,123069149,15374865,2015,N/A
19,Ravens,nan,58,25.69,73305939,24009341,2015,N/A
20,Jets,nan,55,26.27,137997365,8255570,2015,N/A
21,Rams,nan,54,24.98,94367751,11478046,2015,N/A
22,Texans,nan,58,25.53,104856715,17423845,2015,N/A
23,Chiefs,nan,56,25.75,114623601,21535333,2015,N/A
24,Dolphins,nan,52,25.13,90566641,30559418,2015,N/A
25,Saints,nan,58,26.62,97128567,34188706,2015,N/A
26,Chargers,nan,55,26.16,92053333,16995532,2015,N/A
27,Vikings,nan,56,25.91,126255086,9150229,2015,N/A
28,Patriots,nan,57,25.68,98735571,19484524,2015,Winner
29,Lions,nan,56,26.21,109792280,21236686,2015,N/A
30,Bears,nan,58,25.79,91954859,29022282,2015,N/A
31,Seahawks,nan,55,25.96,115629474,19635133,2015,Loser
1,Browns,nan,55,24.69,81775809,35204018,2016,N/A
2,49ers,nan,53,25.83,84921427,12127985,2016,N/A
3,Jaguars,nan,52,25.23,109679864,5108643,2016,N/A
4,Titans,nan,53,26.09,116118046,18508957,2016,N/A
5,Panthers,nan,53,26.53,98999535,13186584,2016,Loser
6,Redskins,nan,53,26.25,117003811,16723788,2016,N/A
7,Dolphins,nan,50,25.96,98532410,17521239,2016,N/A
8,Giants,nan,53,26.08,127295586,15250316,2016,N/A
9,Patriots,nan,53,25.89,117616342,17529572,2016,N/A
10,Saints,nan,53,26.77,86319212,42124429,2016,N/A
11,Eagles,nan,52,26.08,119020957,24179418,2016,N/A
12,Colts,nan,53,26.15,114015686,17189353,2016,N/A
13,Packers,nan,51,25.37,134428984,4663529,2016,N/A
14,Bears,nan,53,25.42,73471561,12797351,2016,N/A
15,Broncos,nan,53,25.28,112742090,15138349,2016,Winner
16,Lions,nan,53,26.32,116112911,24654669,2016,N/A
17,Steelers,nan,53,25.96,120047251,11726970,2016,N/A
18,Buccaneers,nan,54,25.5,120636046,6310844,2016,N/A
19,Cowboys,nan,51,26.47,139363235,3235487,2016,N/A
20,Texans,nan,53,26.26,115226229,8653110,2016,N/A
21,Bengals,nan,53,26.08,121320842,3968637,2016,N/A
22,Bills,nan,53,26.06,112497692,18773045,2016,N/A
23,Falcons,nan,52,26.67,112615074,26026281,2016,N/A
24,Rams,nan,53,24.89,109645297,21365306,2016,N/A
25,Chiefs,nan,53,25.28,116014324,14174760,2016,N/A
26,Seahawks,nan,51,25.84,120240932,14163211,2016,N/A
27,Cardinals,nan,53,25.77,111290277,13722653,2016,N/A
28,Ravens,nan,53,26.3,115846569,15341537,2016,N/A
29,Raiders,nan,53,25.91,142746501,9198592,2016,N/A
30,Chargers,nan,53,25.66,101639984,13365371,2016,N/A
31,Vikings,nan,53,26.28,119127210,7538635,2016,N/A
32,Jets,nan,54,25.19,97375558,16874389,2016,N/A
1,Browns,nan,53,23.98,77946523,46236097,2017,N/A
2,49ers,nan,53,25.77,78589073,39433149,2017,N/A
3,Jaguars,nan,53,25.32,151852626,11295119,2017,N/A
4,Titans,nan,53,26.81,149109415,8068695,2017,N/A
5,Jets,nan,53,25.13,98416921,20767457,2017,N/A
6,Buccaneers,nan,53,26.11,125106587,7223802,2017,N/A
7,Colts,nan,53,25.19,90264198,27574758,2017,N/A
8,Vikings,nan,54,26.06,135742794,11934841,2017,N/A
9,Texans,nan,53,25.81,99775402,13806954,2017,N/A
10,Bills,nan,52,26.48,104955026,28929576,2017,N/A
11,Chargers,nan,53,25.87,127034223,18816665,2017,N/A
12,Broncos,nan,53,25.42,121736835,5457705,2017,N/A
13,Bengals,nan,52,25.31,128091070,4148865,2017,N/A
14,Cowboys,nan,54,25.26,114468318,26658546,2017,N/A
15,Raiders,nan,53,25.85,144377592,4390741,2017,N/A
16,Bears,nan,53,25.81,110629152,13239031,2017,N/A
17,Lions,nan,52,25.79,130190524,10914815,2017,N/A
18,Packers,nan,53,25.23,115603840,12069022,2017,N/A
19,Ravens,nan,53,26.28,112215774,21993528,2017,N/A
20,Steelers,nan,53,26.08,145814413,11859437,2017,N/A
21,Rams,nan,54,25.13,141016255,10001580,2017,N/A
22,Patriots,nan,52,26.87,129468455,7226565,2017,Winner
23,Panthers,nan,51,27.18,144363005,12130270,2017,N/A
24,Eagles,nan,53,26.08,130626348,19582640,2017,N/A
25,Cardinals,nan,53,26.81,104474970,7526798,2017,N/A
26,Redskins,nan,54,25.78,114359646,12634355,2017,N/A
27,Seahawks,nan,53,25.68,126625244,7356310,2017,N/A
28,Falcons,nan,53,26.45,147393869,8459139,2017,Loser
29,Saints,nan,51,25.86,97762121,25613267,2017,N/A
30,Chiefs,nan,52,26.02,135438141,16051403,2017,N/A
31,Giants,nan,54,25.24,104596283,10080895,2017,N/A
32,Dolphins,nan,53,25.87,102474406,20045967,2017,N/A
1,Dolphins,0,68,25.19,125134906,10708110,2018,N/A
2,Colts,0,63,25.81,148806128,6674861,2018,N/A
3,Buccaneers,0,51,25.28,124166847,88238,2018,N/A
4,Bills,0,53,26.28,142134058,1043674,2018,N/A
5,Cowboys,0,50,25.4,137231778,1948673,2018,N/A
6,Seahawks,0,49,25.8,145076159,970128,2018,N/A
7,Giants,0,57,25.18,138292705,4014783,2018,N/A
8,Broncos,0,63,25.35,159276779,498484,2018,N/A
9,Raiders,0,52,25.58,160756309,2201360,2018,N/A
10,Texans,0,55,25.62,161604175,3049264,2018,N/A
11,Jets,0,56,26.07,158167158,1022320,2018,N/A
12,Chargers,0,50,26.06,150032210,155000,2018,N/A
13,Cardinals,0,51,25.73,144509334,4397241,2018,N/A
14,Titans,0,50,26.53,168091836,307011,2018,N/A
15,Browns,0,57,25.7,179257875,5075237,2018,N/A
16,Bengals,0,53,25.89,159265639,2908321,2018,N/A
17,Lions,0,66,25.55,172375024,4457468,2018,N/A
18,Redskins,0,64,26.05,172877369,273710,2018,N/A
19,Patriots,0,55,26.85,154555508,7798489,2018,Loser
20,Eagles,0,58,25.82,186392624,1178217,2018,Winner
21,Packers,0,53,25.33,174381343,555161,2018,N/A
22,Ravens,0,50,26.33,170072213,1310678,2018,N/A
23,Panthers,0,53,26.54,161626794,22106717,2018,N/A
24,49ers,0,49,26.56,187856988,298687,2018,N/A
25,Rams,0,55,25.35,189542240,387593,2018,N/A
26,Chiefs,0,47,26.11,195296465,8174041,2018,N/A
27,Bears,0,51,25.74,196736157,3902403,2018,N/A
28,Saints,0,55,26.7,189623159,1276560,2018,N/A
29,Falcons,0,49,26.69,192620602,4332512,2018,N/A
30,Jaguars,0,59,25.36,208324714,5710646,2018,N/A
31,Steelers,0,63,26.1,205201254,2593913,2018,N/A
32,Vikings,0,50,25.68,210231471,719688,2018,N/A
1,Colts,0.438,53,25.43,142403804,24497343,2019,N/A
2,Browns,0.375,53,24.89,156151812,32279494,2019,N/A
3,Eagles,0.563,53,25.52,118554793,21682104,2019,N/A
4,Bills,0.625,53,26.51,152800449,16935454,2019,N/A
5,Chiefs,0.75,53,26.48,135164511,20083726,2019,N/A
6,Titans,0.563,53,25.74,153007707,13585917,2019,N/A
7,Texans,0.625,53,26.17,141880932,27378439,2019,N/A
8,Raiders,0.438,52,25.37,119535791,23379046,2019,N/A
9,Dolphins,0.313,54,24.93,60872168,66915649,2019,N/A
10,Lions,0.219,53,25.4,93502892,15128283,2019,N/A
11,Cowboys,0.5,53,26.36,149049481,10130372,2019,N/A
12,Jets,0.438,53,25.7,96663085,27627375,2019,N/A
13,Broncos,0.438,53,24.91,105559232,31651422,2019,N/A
14,Bears,0.5,53,25.87,140918889,10363514,2019,N/A
15,Jaguars,0.375,53,24.96,122740078,36168954,2019,N/A
16,Buccaneers,0.438,53,25.62,150154726,10905630,2019,N/A
17,Seahawks,0.688,52,25.94,131944550,26215929,2019,N/A
18,49ers,0.813,53,25.91,156245636,25046420,2019,N/A
19,Panthers,0.313,53,26.19,117132563,14566817,2019,N/A
20,Rams,0.563,53,25.28,162335989,13556018,2019,Loser
21,Bengals,0.125,53,25.51,132492808,13605707,2019,N/A
22,Falcons,0.438,53,26.57,132358161,18675611,2019,N/A
23,Patriots,0.75,53,27.23,156580357,25721180,2019,Winner
24,Packers,0.813,53,25.66,163869767,18461901,2019,N/A
25,Chargers,0.313,53,25.98,155375193,9015689,2019,N/A
26,Saints,0.813,52,26.51,153046896,21620611,2019,N/A
27,Ravens,0.875,53,26.49,135521776,30289731,2019,N/A
28,Giants,0.25,53,25.42,125098384,55100416,2019,N/A
29,Cardinals,0.344,53,25.55,118348287,50866166,2019,N/A
30,Vikings,0.625,51,25.78,177103906,7964795,2019,N/A
31,Steelers,0.5,53,25.36,129754417,34440395,2019,N/A
32,Redskins,0.188,53,25.75,78588363,13286481,2019,N/A
1,Buccaneers,0,51,25.28,124166847,88238,2020,N/A
2,Colts,0,63,25.81,148806128,6674861,2020,N/A
3,Dolphins,0,68,25.19,125134906,10708110,2020,N/A
4,Bills,0,53,26.28,142134058,1043674,2020,N/A
5,Cowboys,0,50,25.4,137231778,1948673,2020,N/A
6,Seahawks,0,49,25.8,145076159,970128,2020,N/A
7,Giants,0,57,25.18,138292705,4014783,2020,N/A
8,Raiders,0,52,25.58,160756309,2201360,2020,N/A
9,Texans,0,55,25.62,161604175,3049264,2020,N/A
10,Jets,0,56,26.07,158167158,1022320,2020,N/A
11,Broncos,0,63,25.35,159276779,498484,2020,N/A
12,Chargers,0,50,26.06,150032210,155000,2020,N/A
13,Cardinals,0,51,25.73,144509334,4397241,2020,N/A
14,Titans,0,50,26.53,168091836,307011,2020,N/A
15,Bengals,0,53,25.89,159265639,2908321,2020,N/A
16,Browns,0,57,25.7,179257875,5075237,2020,N/A
17,Patriots,0,55,26.85,154555508,7798489,2020,N/A
18,Eagles,0,58,25.82,186392624,1178217,2020,N/A
19,Lions,0,66,25.55,172375024,4457468,2020,N/A
20,Redskins,0,64,26.05,172877369,273710,2020,N/A
21,Packers,0,53,25.33,174381343,555161,2020,N/A
22,Ravens,0,50,26.33,170072213,1310678,2020,N/A
23,Panthers,0,53,26.54,161626794,22106717,2020,N/A
24,49ers,0,49,26.56,187856988,298687,2020,Winner
25,Chiefs,0,47,26.11,195296465,8174041,2020,Loser
26,Rams,0,55,25.35,189542240,387593,2020,N/A
27,Bears,0,51,25.74,196736157,3902403,2020,N/A
28,Saints,0,55,26.7,189623159,1276560,2020,N/A
29,Falcons,0,49,26.69,192620602,4332512,2020,N/A
30,Jaguars,0,59,25.36,208324714,5710646,2020,N/A
31,Steelers,0,63,26.1,205201254,2593913,2020,N/A
32,Vikings,0,50,25.68,210231471,719688,2020,N/A
